question,answer,text
" May I put a frozen bag of vegetables etc. on my body on Shabbos as it might melt from my body heat?
If the answer is yes, may I cool myself off with these packets of frozen milk knowing and benefiting from the fact that they will melt? If neither of these are acceptable,may I use a cold cloth placed in the freezer?","
1) One may handle ice packs to cool off with, since only a small amount of water is melted, there is no intention of melting them and the melted water is going to waste. Melting ice is problematic when one actively melts it, or even when no action is taken if this his intention, for example if wants to melt it save the melted water – which is not applicable in this case.
However, frozen food items like meat and vegetables should not be used since they are muktzah.
2) Since you want to melt the milk, you should not purposely use it to cool off so as to proactively melt it.
3) Cold towels that are not wet and will not become squeezed is permissible to use.","###question 
  May I put a frozen bag of vegetables etc. on my body on Shabbos as it might melt from my body heat?
If the answer is yes, may I cool myself off with these packets of frozen milk knowing and benefiting from the fact that they will melt? If neither of these are acceptable,may I use a cold cloth placed in the freezer?.
 ###answer 
 
1) One may handle ice packs to cool off with, since only a small amount of water is melted, there is no intention of melting them and the melted water is going to waste. Melting ice is problematic when one actively melts it, or even when no action is taken if this his intention, for example if wants to melt it save the melted water – which is not applicable in this case.
However, frozen food items like meat and vegetables should not be used since they are muktzah.
2) Since you want to melt the milk, you should not purposely use it to cool off so as to proactively melt it.
3) Cold towels that are not wet and will not become squeezed is permissible to use."
" Can I get a heter to be intimate with my husband during the day?
Hi, I am nine months pregnant and too tired most of the time to be intimate at night. Can I get a heter to be intimate with my husband during the day?","
According to halacha, relations must be at night or even after break of dawn until it’s light enough where people can recognize each other (misheyakir), the time when one may put on tefillin, provided it’s dark. This affects also the mazal as well as the neshama of the child born from these relations.
Ideally, you should attempt to do the same, but where this proves very difficult, and particularly in your case of pregnancy where it’s not for the purpose of conception, there is room for leniency. However, you should ensure that the room is completely dark, or at least cover yourself completely with a blanket that no light enters. If possible, one should schedule relations for Shabbos day.","###question 
  Can I get a heter to be intimate with my husband during the day?
Hi, I am nine months pregnant and too tired most of the time to be intimate at night. Can I get a heter to be intimate with my husband during the day?.
 ###answer 
 
According to halacha, relations must be at night or even after break of dawn until it’s light enough where people can recognize each other (misheyakir), the time when one may put on tefillin, provided it’s dark. This affects also the mazal as well as the neshama of the child born from these relations.
Ideally, you should attempt to do the same, but where this proves very difficult, and particularly in your case of pregnancy where it’s not for the purpose of conception, there is room for leniency. However, you should ensure that the room is completely dark, or at least cover yourself completely with a blanket that no light enters. If possible, one should schedule relations for Shabbos day."
 Were there pigs in Noah’s ark as illustrated in this children’s book?,Yes.,"###question 
  Were there pigs in Noah’s ark as illustrated in this children’s book?.
 ###answer 
 Yes."
 I have many boys KAH. Is it proper to pray to Hashem to be blessed with a girl?,Yes.,"###question 
  I have many boys KAH. Is it proper to pray to Hashem to be blessed with a girl?.
 ###answer 
 Yes."
 Does one need to ask a Rav before being induced? Is there any Halachic issue?,"
This matter is discussed in a number of Poskim. The general rule is that one may not induce or rush the onset of labor unless there are clear medical reasons to require it. Some of the reasons for this prohibition are because:
There is a level of risk inherent to childbirth, and one should therefore not hasten it even though it is bound to come.
The special assurance of protection Hashem provides at the time of childbirth does not necessarily apply to the same degree if the birth is hastened without a clear medical need.
The procedures and/or medicines involved in induction can themselves cause complications, and one should not take that risk needlessly.","###question 
  Does one need to ask a Rav before being induced? Is there any Halachic issue?.
 ###answer 
 
This matter is discussed in a number of Poskim. The general rule is that one may not induce or rush the onset of labor unless there are clear medical reasons to require it. Some of the reasons for this prohibition are because:
There is a level of risk inherent to childbirth, and one should therefore not hasten it even though it is bound to come.
The special assurance of protection Hashem provides at the time of childbirth does not necessarily apply to the same degree if the birth is hastened without a clear medical need.
The procedures and/or medicines involved in induction can themselves cause complications, and one should not take that risk needlessly."
 Can one bring a Sefer Torah to their son who is Bar Mitzvah for Leining in their house without Minyan on Zoom with family? No Birchas Hatorah just Leining. Friday afternoon. Has been preparing.,"One should not transfer the Sefer Torah out of it’s set place to bring to read it in a home.
There is no such an obligation to read the Torah on a Friday afternoon, similarly there is no need to do it with a Kosher Sefer Torah.
Certainly there can be other ways to share the simcha of the Bar Mitzvah boy’s simcha of joining to being obligated in the mitzvos.
Mazel Tov!
Source:
Yerushalimi (Yoma 7:1).","###question 
  Can one bring a Sefer Torah to their son who is Bar Mitzvah for Leining in their house without Minyan on Zoom with family? No Birchas Hatorah just Leining. Friday afternoon. Has been preparing..
 ###answer 
 One should not transfer the Sefer Torah out of it’s set place to bring to read it in a home.
There is no such an obligation to read the Torah on a Friday afternoon, similarly there is no need to do it with a Kosher Sefer Torah.
Certainly there can be other ways to share the simcha of the Bar Mitzvah boy’s simcha of joining to being obligated in the mitzvos.
Mazel Tov!
Source:
Yerushalimi (Yoma 7:1)."
 Is there an official Chabad Minhag regarding wearing/not wearing shoes of a deceased person?,"There is no formal Chabad tradition in this matter, though to the best of my knowledge people generally are particular about this.
The only formal reference that I’m aware of is in a response of the Rebbe to a woman who wrote that her Rabbi said it was OK to wear the shoes and the Rebbe responded that some ARE particular about this matter. The Rebbe continued in his response to point out the halachic references for this opinion.","###question 
  Is there an official Chabad Minhag regarding wearing/not wearing shoes of a deceased person?.
 ###answer 
 There is no formal Chabad tradition in this matter, though to the best of my knowledge people generally are particular about this.
The only formal reference that I’m aware of is in a response of the Rebbe to a woman who wrote that her Rabbi said it was OK to wear the shoes and the Rebbe responded that some ARE particular about this matter. The Rebbe continued in his response to point out the halachic references for this opinion."
 Is it OK for me to attend a workshop/state training that is being held in a room in an Islamic school building?,"If there is a big need, one may attend a workshop (that is in a Kosher fashion) taking place in a Muslim school. This is especially since the event is not taking place in the actual mosque.","###question 
  Is it OK for me to attend a workshop/state training that is being held in a room in an Islamic school building?.
 ###answer 
 If there is a big need, one may attend a workshop (that is in a Kosher fashion) taking place in a Muslim school. This is especially since the event is not taking place in the actual mosque."
"I ate tonight (Motzaei Yom Kippur) without havdala because I don’t fast well and cannot drink anything after a fast or I throw up. I can’t drink tea, coffee, or take in any liquid including water after fasts as it makes me vomit. I am a woman, so I’m limited in choices about people making Havdala for me. I’m staying on my own, so no one was there to make havdala for me. Can I say havdala and have someone else to drink for me? Everyone was already yotzeh havdala. I am not able to drink anything or it will make me feel worse.","
If you can’t find anyone that was not yotze havdalah to drink the wine, coffee or tea, you shouldn’t make havdala.","###question 
 I ate tonight (Motzaei Yom Kippur) without havdala because I don’t fast well and cannot drink anything after a fast or I throw up. I can’t drink tea, coffee, or take in any liquid including water after fasts as it makes me vomit. I am a woman, so I’m limited in choices about people making Havdala for me. I’m staying on my own, so no one was there to make havdala for me. Can I say havdala and have someone else to drink for me? Everyone was already yotzeh havdala. I am not able to drink anything or it will make me feel worse..
 ###answer 
 
If you can’t find anyone that was not yotze havdalah to drink the wine, coffee or tea, you shouldn’t make havdala."
Our son was born on 19 Iyar. This year Erev Shavuos is on Shabbos. When should we make the Upshernish – on Friday 4 of Sivan or Tuesday Isru Chag?,"
• Generally:
For a child whose birthday is from after Lag Baomer until Erev Shavuos, the Upshernish haircut should take place on Erev Shavuos. [When Erev Shavuos falls on Shabbos – on 4 Sivan (with the exception of someone whose birthday is on Erev Shavuos, in which case it should be postponed until after Shavuos)].
See more in the following pages:
https://asktherav.com/4243-when-should-one-get-his-hair-cut-before-shavuos-this-year-since-erev-shavuos-is-shabbos/
https://asktherav.com/13133-when-should-a-boy-start-wearing-kippa-and-tzitzis/
• However, regarding someone whose birthday is on 19 Iyar, a day after Lag Baomer:
There are instructions from the Rebbe to perform the haircut on Lag Baomer.
While in most places it appears that it should take place on Lag Baomer itself (during the day), a day before the child turns 3, others record that it should be done on the actual birthday, right after nightfall on the night after Lag Baomer.
See here the testimony of three people who were all instructed by the Rebbe to do it on Lag Baomer: R. SB Popak, R. YY Hecht and R. Refoel Hartman. In the case of R. Hecht, the Rebbe himself did the cutting. (This information has been independently verified by us). In the case of R. Hartman, we have the actual answer of the Rebbe.
Independent of the above, there is yet another directive presented regarding the Upshernish of Ari Halberstam hy”d (whose birthday is on 19 Iyar), of which there are pictures of the Rebbe cutting the hair. See in the Hebrew references below.
This account raises several questions. Regardless, I feel there is enough information to rely upon to do it on Lag Baomer (by day).","###question 
 Our son was born on 19 Iyar. This year Erev Shavuos is on Shabbos. When should we make the Upshernish – on Friday 4 of Sivan or Tuesday Isru Chag?.
 ###answer 
 
• Generally:
For a child whose birthday is from after Lag Baomer until Erev Shavuos, the Upshernish haircut should take place on Erev Shavuos. [When Erev Shavuos falls on Shabbos – on 4 Sivan (with the exception of someone whose birthday is on Erev Shavuos, in which case it should be postponed until after Shavuos)].
See more in the following pages:
https://asktherav.com/4243-when-should-one-get-his-hair-cut-before-shavuos-this-year-since-erev-shavuos-is-shabbos/
https://asktherav.com/13133-when-should-a-boy-start-wearing-kippa-and-tzitzis/
• However, regarding someone whose birthday is on 19 Iyar, a day after Lag Baomer:
There are instructions from the Rebbe to perform the haircut on Lag Baomer.
While in most places it appears that it should take place on Lag Baomer itself (during the day), a day before the child turns 3, others record that it should be done on the actual birthday, right after nightfall on the night after Lag Baomer.
See here the testimony of three people who were all instructed by the Rebbe to do it on Lag Baomer: R. SB Popak, R. YY Hecht and R. Refoel Hartman. In the case of R. Hecht, the Rebbe himself did the cutting. (This information has been independently verified by us). In the case of R. Hartman, we have the actual answer of the Rebbe.
Independent of the above, there is yet another directive presented regarding the Upshernish of Ari Halberstam hy”d (whose birthday is on 19 Iyar), of which there are pictures of the Rebbe cutting the hair. See in the Hebrew references below.
This account raises several questions. Regardless, I feel there is enough information to rely upon to do it on Lag Baomer (by day)."
