question,actual_output,expected_output
 I was lent $10 in the US and now I want to pay the guy back 10 euro (out of convenience) in France. Is that Ribbis?,"###question 
  I was lent $10 in the US and now I want to pay the guy back 10 euro (out of convenience) in France. Is that Ribbis?.
 ###answer 
 
If the lender is not a Jew, there is no issue of Ribbis.
If the lender is a Jew, there is no issue of Ribbis if the loan was given without any interest.
If the loan was given with interest, the Ribbis is calculated as follows:
If the loan was given for a period of time, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days.
If the loan was given for a year, the Ribbis is 1/365 of the loan.
If the loan was given for a period of time and the loan was given with interest, the Ribbis is calculated as follows:
1/15 of the loan for every 15 days","Loans and Currency
keeping within the guidelines of the Laws of Ribis
A general guide – Compiled by Rabbi Shabsi Tayar"
 I was lent $10 in the US and now I want to pay the guy back 10 euro (out of convenience) in France. Is that Ribbis?,"###question 
  I was lent $10 in the US and now I want to pay the guy back 10 euro (out of convenience) in France. Is that Ribbis?.
 ###answer 
 
If the lender is not a Jew, there is no Ribbis.
If the lender is a Jew, there is no Ribbis if the loan was given without any interest.
If the loan was given with interest, there is Ribbis.
If the loan was given without any interest, but the lender is a Jew, there is Ribbis.
If the loan was given with interest, but the lender is not a Jew, there is no Ribbis.
If the loan was given with interest and the lender is a Jew, there is Ribbis.
If the loan was given with interest and the lender is not a Jew, there is no Ribbis.
If the loan was given with interest","Loans and Currency
keeping within the guidelines of the Laws of Ribis
A general guide – Compiled by Rabbi Shabsi Tayar"
 Is one allowed to cut children’s nails during the 9 days?,"###question 
  Is one allowed to cut children’s nails during the 9 days?.
 ###answer 
 
No.
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children’s nails during the 9 days?
See here:
Can I cut my children","Yes. Even adults may cut their nails.
Those who are stringent, only forbid in the week of Tisha b’av after Shabbos Chazon."
" If two patients come in to the hospital on the brink of death. You can only save one. I know medically they would asses the age, health, etc. When it comes to choosing which one to save. Is that halachicly sanctioned? Does halacha allow for determining which one to save? Is there a system?","###question 
  If two patients come in to the hospital on the brink of death. You can only save one. I know medically they would asses the age, health, etc. When it comes to choosing which one to save. Is that halachicly sanctioned? Does halacha allow for determining which one to save? Is there a system?.
 ###answer 
 
There are two issues here:
1. The issue of saving a life.
2. The issue of determining which life to save.
1. Saving a life:
The Torah states that one should save a life. This is a fundamental principle of Judaism.
2. Determining which life to save:
There are two approaches to this issue:
a. The approach of the Rambam:
The Rambam states that one should save the life of the person who is closer to death.
b.","Yes to all three questions.
See the references in the following sefer.
אניקלופדיה הלכתית רפואית – ערך קדימיות בטיפול רפואי.
Available also here."
 Is it Minhag Chabad to have the Chupa outside in the street or is it OK to have it indoors with an opening above the Chupah as is standard in many halls?,"###question 
  Is it Minhag Chabad to have the Chupa outside in the street or is it OK to have it indoors with an opening above the Chupah as is standard in many halls?.
 ###answer 
 
It is not a Minhag Chabad to have the Chupa outside.
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See here:
Can I have my Chupa outside?
See","It is okay.
ראה אג״ק חי״ב אגרת ג׳תתקכח: יישר כח על מאמרו נגד הפשרות, שזהו בקעה היותר מבהילה במדינה זו ובתקופה זו, ולא לבד שאין נוהגין כהוראת תורתנו במקרים כמו אלו שצריך להוסיף גדר, אלא שעוד מוסיפים פרצה על פרצה באמתלא שע”ז יצילו עכ”פ את המיעוט, אף שרואים במוחש ההיפך. ברם מה שכלל בזה גם הענין דחופה תחת כפת השמיםשנעשה פה ע”י חלל בגג הבית, צריך עיון, כי אין בזה פשרה אלא הענין במילואו.
ולהעיר מאג״ק חי״ט אגרת ז׳תתי."
" Should I say Tachanun even though the Minyan I’m Davening with isn’t saying (or vice versa)?
Question:
I’m a Lubavitcher, When davening mincha with a satmar minyan when they particularly don’t say tachnun during mincha, do I skip tachanun or do I say it after or before their minyan?","###question 
  Should I say Tachanun even though the Minyan I’m Davening with isn’t saying (or vice versa)?
Question:
I’m a Lubavitcher, When davening mincha with a satmar minyan when they particularly don’t say tachnun during mincha, do I skip tachanun or do I say it after or before their minyan?.
 ###answer 
 
You should say Tachanun.
If you are not able to say Tachanun, you should say it after the Minyan.
If you are not able to say it after the Minyan, you should say it after the Minyan’s Tachanun.
If you are not able to say it after the Minyan’s Tachanun, you should say it after the Minyan’s Tachanun’s Tachanun.","
You should say Tachanun but in a manner that doesn’t call attention to your behavior.
אג״ק טו ע׳ נח.
ובכלל, בענין חילוקי מנהגים בתחנון, וע״ד הנמצא במקום שמנהגם לומר תחנון וכן להיפך – ראה מה שהרחבנו בשאלה 557."
" When the Minyan is saying Shema, all in the shul are supposed to say along. What’s if I’m holding at a place where I can’t be Mafsik?","###question 
  When the Minyan is saying Shema, all in the shul are supposed to say along. What’s if I’m holding at a place where I can’t be Mafsik?.
 ###answer 
 
If you are unable to say Shema with the Minyan, you should say it at the next opportunity.
If you are unable to say Shema at all, you should say it at least once a day.
If you are unable to say Shema with a Minyan, you should say it with a Chavrusa.
If you are unable to say Shema with a Chavrusa, you should say it with a single person.
If you are unable to say Shema with a single person, you should say it with a single word.
If you are unable to say Shema with a single word, you should say it with a single letter.
If you are unable to","During the actual brochos of boruch sheomar and yishtabach as well as during birchos krias shema – one should continue davening in the tune of shema (some say to also cover the eyes).
During pesukei d’zimra – one should (try to reach the end of the paragraph, or at least the end of the posuk or sentence, and) say the first Posuk of shema along with the minyan (some say to also cover the eyes).
During shmone esrei – one may not interrupt, and should not stop or cover their eyes."
 Are Potato Chips/Pringles with an OU Fine?,"###question 
  Are Potato Chips/Pringles with an OU Fine?.
 ###answer 
 
Yes.
See here:
Can I eat Pringles?
See here:
Can I eat potato chips?
See here:
Can I eat chocolate covered potato chips?
See here:
Can I eat chocolate covered pretzels?
See here:
Can I eat chocolate covered candy?
See here:
Can I eat chocolate covered fruit?
See here:
Can I eat chocolate covered nuts?
See here:
Can I eat chocolate covered cereal?
See here:
Can I eat chocolate covered ice cream?
See here:
Can I eat chocolate covered cake?
See here:
Can I eat chocolate covered cookies?
See here:
Can I eat","Potato chips – fried potato chips should be Bishul Yisroel. However steam cooked potato chips do not need to be exclusively bishul Yisroel.
Pringles – there is a Machlokes in regards to regular Potato chips if they need to be Bishul Yisroel and one should be stringent as mentioned, however, even according to the lenient opinion, there is room to be more stringent in regards to pringles.
Reasoning:
Shulchan Aruch (Yoreh Deah 113:1) requires Bishul Yisroel only on foods that are Oleh Al Shulchan Melachim (that would be served at the meals of royalty).
The Chachmas Adom 66:4 writes that foods like potato cuttings require to be Bishul Yisroel.
Although most opinions maintain that we define Oleh al Shulchan Melachim solely by the fact how it is served right now (if it is fit for a meal of royalty), since a fried potato would require to be bishul Yisroel, the potato chip should also be bishul Yisroel,
despite the fact that it is cut thin.
This would be analogous to a piece of meat: one cannot say that only certain cuts of meat that are fancy require Bishul Yisroel and non-fancy cuts of meat do not require Bishul Yisroel.
However If the potato chips are steam cooked, it does not require to be bishul Yisroel (see Shulchan Aruch Yoreh Deah 113:13).
Pringles made from potato starch or potato flour – if the potato was cooked first it would have needed to be bishul Yisroel before it was turned into potato starch.
Therefore, Pringles are different than potato chips since during the process they were already cooked like regular potatoes even though they are dried afterward. Thus, it is problematic even for those who would argue that potato chips are fine, since the original Issur when it was cooked by a non-Jew remains. (Those who allow it use certain leniencies and some claim it’s better than potato chips.)
Follow-up to the Pringles Question
נקודת הענין בקצרה:
אף את״ל דאזלינן בתר האוכל הספציפי ולא אחרי הסוג כללי בנוגע לבישול ישראל – וכן הוא בפשטות – בציפס שונה שהוא אותו סוג פרטי אלא שכיון שנעשה דק מאד אינו ראוי בצורה זו לעלות עש״מ.
והרי פשוט שגם חתיכה קטנה מאד של בשר וכדומה שנתבשלה ע״י גוי אסורה משום בשולי נכרים אף שא״ר לעלות באופן זה עש״מ.
ידוע לי שכו״כ מקילים בהנ״ל. אמנם, כן מסתבר.
[ומועתק בזה מה שכתבנו לשואל בענין זה:
ציפס הוא ענין בפ״ע, כיון שלכו״ע עעש״מ.
אלא שנחלקו הפוסקים אי אזלינן בתר גמר הכנתו או גוף המאכל מצ״ע.
ואם כי ידים מוכיחות בכ״מ בפשי׳ דאזלינן בתר גמר ההכנה- מ״מ מצד חומר מאכ״א אף בדבר שעיקרו מד״ס, נהגו כו״כ מחסידים ואנשי מעשה להחמיר.
ולהעיר ממש״כ האריז״ל להחמיר גם בעולה על שלחן שרים.  ויתירה מזו שבענ״פ יחמיר גם באעעש״מ כלל. וע״ד מש״א בגמ׳ שאדם חשוב מחמיר גם בנאכל כמו״ש חי.
ובלא״ה, במק״א הארכנו שיתכן שלכו״ע יש לאסור בציפס כיון שמה שאינו עעש״מ הוא מרוב דקותו – כי גוף מאכל זה עעש״מ כשהוכן בצורה גדולה יותר.
ואלו דברינו שם: בפאטעטיא ציפס יש מחמירים. ולא רק מטעם שתפו״א עעש״מ ולהשיטה שהולכים אחרי מין המאכל ולא המאכל פרטי – שלרוה״פ לא קייל״ן הכי – כ״א שבאמת תפו״א מטוגנים עעש״מ ורק שכאן נחתך יותר דק. ולא מסתבר שגדר עעש״מ תלוי בגודל החתיכה, דא״כ כל חתיכה קטנה של בשר וכו׳ נימא הכי להתיר משום בשולי גוים כיון שמחמת קוטנו אעעש״מ. ושאני דגים קטנים שהסוג הוא קטן. אלא שי״א שבכלל תפו״א מטוגנים אעעש״מ. וכמדומה ה״ז היפך המציאות.
בקמח תפו״א – אם נתבשל לפנ״ז, הרבה מחמירים שאיסור שבו להיכן הלך.
בנוגע לעישון – אף שיש מחמירים שבעישון חם אסור, למעשה יש להקל.
גם – י״א שעעש״מ בתור חטיף לילדי המלכים. ואכ״מ].
והעיקר: בפרינגלס כיון שכבר נאסר כשנתבשלו בתור תפו״א, איסור שבו להיכן הלך.
ואף שיש מתירים ע״פ שו”ת אבקת רוכל סי’ ל: ילמדנו רבינו חטים ששולקים אותם הגויים עד שמגיעים למאכל בן דרוסאי וחוזרים ומייבשים אותם כדי לעשותן גריסין ושוב אינם נאכלים אלא ע”י בישול אחר מוקימנא להו למאכל בן דרוסאי או דילמא כיון שנתייבשו כולי האי חזרו להתירן הראשון?” והשיב הב”י “ובכה”ג נראה לומר בנ”ד דכיון דאיסורא דרבנן היא ויש מתירים הני חטים כיון דמתייבשין כ”כ דאינם נאכלים אלא ע”י בישול אחר והבשול הא’ אינו ניכר בהם מותרים ואפשר שאפילו האוסרים בתבשיל יתירו באלו החטים כיון שאינן נאכלין אלא ע”י בישול מחדש”. וכן גם בזה, שאחרי שנתבשל נתייבש –  יש לחלק בפשטות, כיון שאפשר להכשירם לאכילה אחרי היבוש גם במים קרים. ועוד זאת, שהוא רק ע״י עירוי ולא בישול ממש.
אבל יש מתירים כיון שנתבשל באידים וס״ל שהוא כמעושן. ואכ״מ.
[בכלל, בעירוי מלכתחילה אם דינו כבישול לגבי בישול נכרים: להעיר מירושלמי ע״ז ב, ח ובפני משה שם – חלוט שלהן – דמשמע שאינו כבישול.
וכמדומה במהרש״ם כתב להתיר ואינו תח״י כעת]."
 הבת שלי לומדת שחיה האם היא יכולה להמשיך את השיעורים ב9 הימים?,"###question 
  הבת שלי לומדת שחיה האם היא יכולה להמשיך את השיעורים ב9 הימים?.
 ###answer 
 כל הכרה של שחיה היא יכולה להמשיך את השיעורים ב9 הימים. אבל היא מוחללת להמשיך את השיעורים בשעת השחיתה. אבל אם היא לא מוחללת להמשי","יש להימנע משחי’ לאורך כל תשעת הימים.
אם הילדים שלך הם מתחת לגיל חינוך (2-5 שנים) יש מקום להקל על שיעורי שחי’.
אם לא ניתן למצוא הזדמנות נוספת לשיעורי שחי’, אפשר להקל אפילו עד 10 שנים.
 ובמיוחד אם הביטול יעלה כסף.
בכל זאת, רבים נזהרים למנוע מפעילויות מסוכנות בתקופה זו.
מקורות:
 בכלל בנוגע לחינוך קטן באבילות – ראה ביו״ד סי׳ שמ׳ נקוה״כ עהט״ז ס״ק טו. ולעניננו – מ״א תקנא ס״ק לח. ובמק״א הארכנו.
והנה, ראה שו״ת רב פעלים ח״ד כט שמיקל בלימודי שחי׳ כשהתחיל ללמוד. אבל, ברב פעלים שם מיירי לשיטת הספרדים שמותר לרחוץ אלא שבבגדד נהגו בזה איסור. ועז״כ להקל בכגון דא. ועוד להעיר שבמקומו כבר נפרץ האיסור אצל כו״כ, עיי״ש. ועצ״ע לדידן שקיבלנו פסקי הרמ״א. ואולי עדיין מקום לומר הוא הדין והוא הטעם, כיון שהוא רק ממנהגא.
אבל עוד זאת, ועיקר, שכתב שם שודאי נכון להחמיר בזה אבל אין למחות ביד המיקל.
וא״כ אצלנו שנתקבל שאין עושים כן כלל – צ״ע להקל בשופי.
ועוד להעיר שכתב שם דמיירי שהתחיל מקודם בין המצרים ולא שהתחיל לפני ר״ח מנ״א. ואף שצ״ע טעמו – דמאי נפק״מ אם התחיל אחרי ביהמ״צ, ואולי שבזה ניכר שנעשה לצורך לימוד ולא כיון מלאכתו בזמן האסור. ודוחק – סו״ס קשה להקל יותר ממה שהוא מיקל.
אלא שבקטנים בלא״ה אין הכרח שיש איסור רחיצה. והארכנו מזה בשאלה מספר 558, עיי״ש בארוכה. ודעת אאזמו״ר ששחי׳ בכלל היינו רביתייהו דתינוקות, אף שעדיין צע״ק בזה, שהרי אינם רגילים בזה כל השנה.
ומ״מ, בקטנים שלא הגיע לחינוך אבילות, שבד״כ גם ביותר מגיל 5-6 אינו יודע להתאבל על ירושלים, וגם בגיל תשע ועשר – הרי לא הגיעו לחינוך מצות עינוי, וכיון שהמדובר במנהגא, וגם כיון שלמעשה מדובר במצוה גדולה שחייב ללמדו להשיטו – נ׳ להקל גם באופן זה. וכש״כ ותוספת היתר – כשיש בזה הפסד ממון לבטל הלימוד.
והמיקל גם בקטנים עד גיל מצוות, אין למחות בידו.
אבל בגדולים אין ראוי להקל כלל, כ״א באופן המדובר ברב פעלים שם שהתחיל מקודם ביהמ״צ. וגם בזה – אין דעתנו נוחה כלל לסמוך על זה, לדידן כאן שנתפשט המנהג בשופי שאין עושים כן במחנות קיץ וכדומה.
אלא שכבר כתבו שיש להזהר מפני הסכנה – ראה גם מקו״ח תקנא, בהמשך לדין כיבוס בגדי קטנים. וא״כ צ״ל בזהירות המירבית, ושומר פתאים השם. והמחמיר ונזהר תע״ב."
 Is it permissible (Halachically/Hashkaficlly) to take my kids to Walt Disney in Orlando?,"###question 
  Is it permissible (Halachically/Hashkaficlly) to take my kids to Walt Disney in Orlando?.
 ###answer 
 
It is forbidden to take children to Disney World.
See here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney World?
See also here:
Can I take my children to Disney","It hard to say there is something Halachicly forbidden about this. However, it definitely is not something I would recommend.
The general atmosphere in theme parks are not in line with the chassidishe atmosphere, including the music, the shows, and the whole experience.
In Disney parks there are many characters from movies, and the parked is “themed” around the movies. I would definitely consider this to be inappropriate and uneducational. (Some characters are also non Kosher animals, such as Mickey Mouse.)
An additional but equally important point (particularly relevant for the summer time): theme parks is a place where there is a strong level of immodesty, regarding how people act and dress. This might actually be an halachic issue.
The following is what Rabbonei Chabad have stated on this matter (פסקי  דינים לבנות חב״ד):
Regarding a theme park: while it is quite inappropriate for boys to go to a place where the women dress in a non tznius manner, and it is not recommended for girls to go to a place where there are non-tznius men, a decision needs to be made on a case by case basis.
Being that it is a matter of standard, I would recommend to discuss this matter over with your personal Mashpia."
