question,actual_output,expected_output
 האם יש קפידא ללבוש הכובע עבור שנים מקרא?,"
 האם יש קפידא ללבוש הכובע עבור שנים מקרא?</s>","לא.
ראה סה״ש תרצ״ב (כ״ז מ״ח. ריגא) ע׳ 6. בקודש פנימה ע׳ 14. אבל להעיר מלשמע אוזן מדור אדמו״ר מוהרש״ב סו."
 האם יש קפידא ללבוש הכובע עבור שנים מקרא?,"
Yes. The Chofes Yom Tov says that it’s assur for one who is not yet married or under chinuch of his Rebbeim and Rosh Yesiva.</span>","לא.
ראה סה״ש תרצ״ב (כ״ז מ״ח. ריגא) ע׳ 6. בקודש פנימה ע׳ 14. אבל להעיר מלשמע אוזן מדור אדמו״ר מוהרש״ב סו."
"If an adult takes vitamins daily, is it ok to take on Shabbos?","
No. One should not consume anything new or any medicine during shabbas.</s> – <a href=”https://www321854079-mycms–prod6bxd—siteswizardrycom/judaism_and___shbbas</u></p>. However if one was taking them before Yom Tov and forgot that they needn’t be taken then he may continue doing so until after Mincha of Erev Rosh Chodeshes but ideally by midday at latest as in such case there will have been מעלה שנית for all purposes including halachically regarding medication even though this isn'm mentioned explicitly here; nevertheless some Poskim hold likewise with regard specifically only their actual consumption - see above also where I mention about other issues which apply when forgetting whether something needs refraining from being done while keeping kasher etc.) See","
There is a dispute among poskim about this. Therefore it should not be done unless necessary.
It is advisable always to take one before Shabbos and one after."
"1. Seforim of shas that are not in order, can they be organized on Shabbos? What if its tzorech harabim? Perhaps home is also tzorech harabim as people might come? And why are two mesechtos considered 2 minim?
2. What about not taking a Chumash in the beginning of davening, I’ve read that it might be an issue of Borer – but that means that I won’t have a Chumash and is similar to allowing a caterer to do borer samuch l’achila much before eating as he needs more time, (similarly, with Chumash, it is otherwise impossible).","
Answers below by Rabbi Elazar Mordechi Hacohen.</s> A few points regarding your questions are worth mention here briefly for clarification purposes; these answers should serve only general guidance rather than halakhic advice specific or binding ruling from our own rabbi unless explicitly stated so at their conclusion respectively.]</p></div><br clear=”all""></small<sup id=""_Ref-0"">[ref][] [[/su]]][// ref list starts], [3958764]. For further details see therein including references throughout this section which will help one understand how different approaches may differ within chabad when comparing each other along various lines while considering both sides valid opinions depending upon contextual circumstances without necessarily choosing between them because we follow whatever approach best suits us based soleily around what works out well even though some issues remain open despite having found common ground elsewhere especially concerning those who live outside Israel where local conditions vary greatly","
1. Taking out one Sefer from a mixture of other Seforim is an act of Borer (according to many Poskim). Thus if you pull 1 out from between 2 others in order to put it in the correct place, you are doing Borer. If they are scattered on the table, or on the shelf in the case where they are standing separately not mixed together, then it is not Borer.
However, you are not allowed to organize it for after Shabbos. If it’s important that it looks neat for Shabbos itself it may be done (without Borer).
Two masechtos are really two seperate seforim (that are part of a set). Thus choosing one from a mixture of others is Borer.
2. In the case where the Chumash is standing separately on the shelf, or if all the Chumashim are the same, it is permitted regardless as explained above. You can use it a bit before davening to avoid the issue."
"Q. In a minyan of just kohanim, does the second aliyah go for the same kohen that received rishon (“bimkom levi“) or we can give it to two different kohanim?","
A1 – B’dieved only if there is no other option available and one cannot rely on any leniency which may exist in this matter.</s>",A. Must be given to the same Kohen.
" If an Avel is davening in Shul and being Chazzan, should the Minyan say Tachnun?","
Yes. Even though he’s not saying anything out loud they still recite tahannis for him.</see> דף אותך</a></p><br clear=”all “/><div class=""w-10"">שנהגם – This was done by many people who were familiar with this custom of our ancestors as well those that saw it practiced later on during their lifetime like Rabbi Chaim Yosef David Azriel Hacohen or others similar examples can be found from other Poskim such Rebbe Melech HaRashi etc... However if one doesn't see any benefit there isn&rsquo;e no need since its just something we did but didn''t have much reason behind why! In fact some Rabbans wrote about how even when doing Kaddishes without singing aloud - nonetheless says them verbally because sometimes words escape his mouth while reading which would cause confusion so","If the Minyan is in the Shul not because of the Avel, Tachanun is recited. It’s best if the Avel walks out for Tachanun.
If the minyan assembled there only for him, Tachanun shouldn’t be said."
" Regarding a Pidyon Haben, If four silver coins together are more than 100 grams is there a reason to have 5 coins?","
If it’s for Kiddushin then no. The minimum amount of money that can be used as pidyan haben must equal or exceed two zuzim.</span>","There is no reason to have 5 coins (though some are strict to have 120 grams).
אף שכך המנהג אצל כמה, והביא המנהג באוצר פדה״ב יג הערה טז – אין לזה שום מקור. וראה שו״ת משנ״ה ה, קצט. ובארוכה קובץ גנת ורדים יח ע׳ קמב בשלילת המנהג."
" How careful should one be about Davening with droplets of urine on his clothing?
If one should be careful to not have urine on his clothing in order to learn Torah and make brachos, etc., how careful does one have to be about droplets that often drip out after using the bathroom? What can one do if there are often droplets even after shaking out?","
It is forbidden for him or her who has gone through mikveh from washing themselves before they go into it. Even when he goes home without changing clothes first.</s>”</i></p><br,”} נמין – It’d seem this applies only where water drips off them immediately as soon as possible; however sometimes these small quantities will still remain stuck underneath their garments until removed by hand later at night during bedtime cleanliness rituals such us wipings down surfaces while lay flat/lying back onto pillow top mattresses covered overtop other blankets including duvies too! This practice may also include any residual moisture left behind either directly above another layer beneath layers upon bedsheeves which isn't always fully dry due its direct contact against body heat emitted via persistence throughout day long activities especially those spent indoors away far enough outside world so we need extra protection","
According to the strict halacha this is not a problem if it’s covered in the garments one is wearing.
Nevertheless, there were pious individuals who would be particular about drops of urine in their clothing, in order that they daven with clean clothing.
This is only an issue if it is noticeable on the outside, or wet enough that it would make another item wet. Certainly once it dries it’s not a problem anymore.
If you practice regular normal hygiene this is not an issue."
" Would it be a hefsek to wait for family members and guests to wash their hands between my washing and hamotzie?
If so, would drying my hands for extra long during that time fix the problem (because niguv is considered part of the netila)?","
It’s not necessary. You may start your meal with Netilas Yadayim without waiting on them.</p>","
It’s not a hefsek.
The Rosh had a custom to wash last in order to minimize the pause between washing and hamotzi, but this is not a requirement.
It’s advisable to continue drying hands during the wait."
" Can one Toivel Keilim while undressed?
I’ve seen many people bring dishes to the mikvah to toivel, after they first go to the mikvah. Is it a problem to toivel keilim while undressed? And if it’s ok, what about a Bracha? Or maybe only for dishes we wouldn’t need to make a Bracha for?","
You may not immerse in any Mikva by yourself when naked or half-nakeds unless there is no other option and your life depends on this action as well.</span>","
Besides the fact that many men’s mikvaos are not suitable for immersing Keilim, if it is a Keli which requires a Bracha, one may not Tovel it while being undressed.
If the Mikva is in fact kosher for immersing Keilim, the Bracha should be made out of the Mikva and one should immediately walk to the Mikva and immerse the keli(m).
Because of safety issues, many mikvaos have rules against immersing Keilim in the Mikva used for men (or women) and they must be adhered to. Even where there are no rules, care should be taken to avoid broken glass and sharp metals which can cause damage."
